Job Number,Filepath,Planning Enforcement Reference Number,Address,Date,Document Type,BS7666UPRN,Easting,Northing
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\1 Dormer Cottages, Forest Road, Bordon, Hants, GU35 0BH_F22816-1.pdf",F22816/1,"1 Dormer Cottages, Forest Road, Bordon, Hants, GU35 0BH",13/10/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\The Old Brickworks, Hawkley, Liss, GU33 6JT_F.24296-2.pdf",F.24296/2,"The Old Brickworks, Hawkley, Liss, GU33 6JT",18/11/1981,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Dormer Cottages, Forest Road, Bordon, Hampshire, GU35 0BH_F22816-1.pdf",F22816/1,"Dormer Cottages, Forest Road, Bordon, Hampshire, GU35 0BH",09/09/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\9 South Lane, Clanfield, Waterlooville, PO8 0RB_F25714-1.pdf",F25714/1,"9 South Lane, Clanfield, Waterlooville, PO8 0RB",26/08/1981,Planning Enforcement Notice,100062455985,469765.455,116796.375
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\SHILOH, DRIFT ROAD, WHITEHILL, BORDON_PT-RDO-12-9-153.pdf",PT/RDO/12/9/153,"SHILOH, DRIFT ROAD, WHITEHILL, BORDON",24/07/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Viola Roads Hill, Catherington, Near Horndean, PO8 0TG_MS-P.pdf",MS/P,"Viola Roads Hill, Catherington, Near Horndean, PO8 0TG",16/12/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\24 STATION ROAD, PETERSFIELD_PT-ME-12-9-147.pdf",PT/ME/12/9/147,"24 STATION ROAD, PETERSFIELD",13/03/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Sutton Wood House, Bighton Lane, Ropley, Alresford, SO24 9SG_FP-ME-10-6.pdf",FP/ME/10/6,"Sutton Wood House, Bighton Lane, Ropley, Alresford, SO24 9SG",02/12/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Six Bells Farm, Blendworth Lane, Blendworth, Near Horndean, Waterlooville, Hampshire, PO8 0AR_APP-5236-C-81-28.pdf",APP/5236/C/81/28,"Six Bells Farm, Blendworth Lane, Blendworth, Near Horndean, Waterlooville, Hampshire, PO8 0AR",13/04/1982,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Plots 145-160 Lith Avenue, Catherington Lith, Horndean, Waterlooville, PO8 0HA_MK-10-6.pdf",MK/10/6,"Plots 145-160 Lith Avenue, Catherington Lith, Horndean, Waterlooville, PO8 0HA",31/10/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\50 Victory Avenue, Horndean, Waterlooville, PO8 9PJ_AYP-MK-10-6.pdf",AYP/MK/10/6,"50 Victory Avenue, Horndean, Waterlooville, PO8 9PJ",31/10/1980,Planning Enforcement Notice,100060291711,469264,112795
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\54 BOLLE ROAD, ALTON_IPPLB-10-6.pdf",IPPLB/10/6,"54 BOLLE ROAD, ALTON",22/10/1980,Planning Enforcement Notice,,,
