Job Number,Filepath,Address,Date,BS7666UPRN,Easting,Northing
JN24960,Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\PREW'S HANGER PL211_12-07-1985.pdf,PREW'S HANGER PL211,12/07/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\PUMP HOUSE, MANOR HOUSE, GREATHAM_27-10-1986.pdf","PUMP HOUSE, MANOR HOUSE, GREATHAM",27/10/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\RAGMORE FARM, RAGMORE LANE, FROXFIELD_14-05-1985.pdf","RAGMORE FARM, RAGMORE LANE, FROXFIELD",14/05/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\RAILWAY HOTEL, CHARLES STREET, PETERSFIELD_11-02-1986.pdf","RAILWAY HOTEL, CHARLES STREET, PETERSFIELD",11/02/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\RIVER HILL FARM, BINSTED_08-03-1985.pdf","RIVER HILL FARM, BINSTED",08/03/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\SICKLES FARM, KINGSLEY AND OLD PARK FARM, KINGSLEY_14-01-1985.pdf","SICKLES FARM, KINGSLEY AND OLD PARK FARM, KINGSLEY",14/01/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\ST. MARY'S HOME, ALTON_11-10-1985.pdf","ST. MARY'S HOME, ALTON",11/10/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\ST. MARY'S HOME, ALTON_24-01-1986.pdf","ST. MARY'S HOME, ALTON",24/01/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\SUNACRES COTTAGE, SHALDEN GREEN, SHALDEN, HAMPSHIRE_15-12-1986.pdf","SUNACRES COTTAGE, SHALDEN GREEN, SHALDEN, HAMPSHIRE",15/12/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\THE OLD FORGE, ISINGTON_16-08-1985.pdf","THE OLD FORGE, ISINGTON",16/08/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\THE OLD SCHOOL HOUSE, HYLTON ROAD, PETERSFIELD_27-09-1984.pdf","THE OLD SCHOOL HOUSE, HYLTON ROAD, PETERSFIELD",27/09/84,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\TWENTY WAYS FARM, RAMSDEAN_15-07-1985.pdf","TWENTY WAYS FARM, RAMSDEAN",15/07/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\WEST END FARM, FROYLE_01-05-1986.pdf","WEST END FARM, FROYLE",01/05/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\108 HASLEMERE ROAD, LIPHOOK, GU30 7BU_06-04-1978.pdf","108 HASLEMERE ROAD, LIPHOOK, GU30 7BU",06/04/78,100060276407,484773.00,131635.00
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\3 INADOWN BUNGALOWS, NEWTON LANE, NEWTON VALENCE, ALTON, GU34 3RR_10-04-1978.pdf","3 INADOWN BUNGALOWS, NEWTON LANE, NEWTON VALENCE, ALTON, GU34 3RR",10/04/78,1710018530,471256.00,133626.00
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\42 DURFORD ROAD, PETERSFIELD, GU31 4HA_17-01-1979.pdf","42 DURFORD ROAD, PETERSFIELD, GU31 4HA",17/01/79,1710037519,476378.00,123191.00
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\5 AND 6 CAMP VIEW COTTAGES, WYCK, BINSTED, HAMPSHIRE_08-08-1977.pdf","5 AND 6 CAMP VIEW COTTAGES, WYCK, BINSTED, HAMPSHIRE",08/08/77,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\75, 79, 81, 83 AND METHODIST CHURCH AND HALL, HIGH STREET, ALTON_01-09-1977.pdf","75, 79, 81, 83 AND METHODIST CHURCH AND HALL, HIGH STREET, ALTON",01/09/77,,,
JN24960,Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\ALTON INNER RELIEF ROAD_08-08-1977.pdf,ALTON INNER RELIEF ROAD,08/08/77,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\BAKERS FIELD, PETERSFIELD ROAD, GREATHAM_28-04-1977.pdf","BAKERS FIELD, PETERSFIELD ROAD, GREATHAM",28/04/77,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\BEDALES SCHOOL, CHURCH ROAD, STEEP, PETERSFIELD, GU32 2DG_11-12-1979.pdf","BEDALES SCHOOL, CHURCH ROAD, STEEP, PETERSFIELD, GU32 2DG",11/12/79,1710034394,474291.48,125129.93
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\BOODLES COTTAGE, CHURT ROAD, LAND OF NOD, HEADLEY_07-08-1978.pdf","BOODLES COTTAGE, CHURT ROAD, LAND OF NOD, HEADLEY",07/08/78,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\BOROUGH ROAD, PETERSFIELD, GU32 3LD_08-08-1979.pdf","BOROUGH ROAD, PETERSFIELD, GU32 3LD",08/08/79,,,
