Job Number,Filepath,Address,BS7666UPRN,Easting,Northing
JN24963,"Box 06\Miscellaneous\Sandhill House, Sandhill Farm, Picketts Hill, Headley, Bordon, GU35 8TF.pdf","Sandhill House, Sandhill Farm, Picketts Hill, Headley, Bordon, GU35 8TF",100060265247,471424.1,141895.4
JN24963,"Box 01\Street No. Rowlands Castle\Stonewell, Old Odiham Road, Shalden, Alton, GU34 4BU.pdf","Stonewell, Old Odiham Road, Shalden, Alton, GU34 4BU",100060265251,471401,142039
JN24963,"Box 13\Street No. Alton H-R\Chasewood House, Old Odiham Road, Shalden, Alton, GU34 4BW.pdf","Chasewood House, Old Odiham Road, Shalden, Alton, GU34 4BW",100060265295,471441,141108
JN24963,"Box 05\Shalden\Oakridge House, Old Odiham Road, Shalden, Alton, GU34 4BW.pdf","Oakridge House, Old Odiham Road, Shalden, Alton, GU34 4BW",100060265300,471469.4,141250.4
JN24963,"Box 01\Street No. Rowlands Castle\Linden House, Old Odiham Road, Shalden, Alton, GU34 4BW.pdf","Linden House, Old Odiham Road, Shalden, Alton, GU34 4BW",100060265303,471347.8,141185.2
JN24963,"Box 07\Loose\Linden House, Old Odiham Road, Shalden, Alton, GU34 4BW.pdf","Linden House, Old Odiham Road, Shalden, Alton, GU34 4BW",100060265303,471347.8,141185.2
JN24963,"Box 07\Loose\Bryncoed, Old Odiham Road, Shalden, Alton, GU34 4BU.pdf","Bryncoed, Old Odiham Road, Shalden, Alton, GU34 4BU",100060265312,471380.2,142140.4
JN24963,"Box 13\Street No. Alton H-R\Bryncoed, Old Odiham Road, Shalden, Alton, GU34 4BU.pdf","Bryncoed, Old Odiham Road, Shalden, Alton, GU34 4BU",100060265312,471380.2,142140.4
JN24963,"Box 05\Shalden\Walnut Lodge, Old Odiham Road, Shalden, Alton, GU34 4BW.pdf","Walnut Lodge, Old Odiham Road, Shalden, Alton, GU34 4BW",100060265318,471450,141190
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Lilac Cottage, 4 Park Lane, Lower Froyle, Alton, GU34 4LU.pdf","Lilac Cottage, 4 Park Lane, Lower Froyle, Alton, GU34 4LU",100060265467,476337.35,144072.82
JN24963,"Box 11\Street No. Alton S-Z\Woodland Cottage, 31 Snode Hill, Beech, Alton, GU34 4AX.pdf","Woodland Cottage, 31 Snode Hill, Beech, Alton, GU34 4AX",100060266105,469380.5,139098.7
JN24963,"Box 02\Street No. M'Stead Newton Valence\Brockwood, Upper Soldridge Road, Medstead, Alton, GU34 5QG.pdf","Brockwood, Upper Soldridge Road, Medstead, Alton, GU34 5QG",100060266108,465053.6,134968.7
JN24963,"Box 06\Miscellaneous\Stonebridge, Station Approach, Medstead, Alton, GU34 5EL.pdf","Stonebridge, Station Approach, Medstead, Alton, GU34 5EL",100060266496,466892.9,135405.7
JN24963,"Box 11\Street No. Froxfield, G'Shott, Hawkley\Home Acres, Stocks Lane, Privett, Alton, GU34 3NZ.pdf","Home Acres, Stocks Lane, Privett, Alton, GU34 3NZ",100060266528,466826.1,127047.1
JN24963,"Box 11\Street No, Bentley Bentworth\Minchins Cottage, Trinity Road, Bentworth, Alton, GU34 5NN.pdf","Minchins Cottage, Trinity Road, Bentworth, Alton, GU34 5NN",100060267083,465559.305,138366.27
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\The Annexe, 20 Vyne Close, Alton, GU34 2EH.pdf","The Annexe, 20 Vyne Close, Alton, GU34 2EH",100060267372,471551,140009
JN24963,"Box 05\Medstead\Beechcroft House, Wield Road, Medstead, Alton, GU34 5NH.pdf","Beechcroft House, Wield Road, Medstead, Alton, GU34 5NH",100060267759,464528,137763
JN24963,"Box 02\Street No. M'Stead Newton Valence\Lamedos, Wield Road, Medstead, Alton, GU34 5LY.pdf","Lamedos, Wield Road, Medstead, Alton, GU34 5LY",100060267769,465301.1,137232.7
JN24963,"Box 02\Street No. M'Stead Newton Valence\Lark Hill, Wield Road, Medstead, Alton, GU34 5NJ.pdf","Lark Hill, Wield Road, Medstead, Alton, GU34 5NJ",100060267771,464847.4,137429.87
